Postcode,Region,Farm,Beet,Beans,Grass,Maize,OSR,Other,Potatoes,Spring _barley,Spring_wheat,Winter_barley,Winter_wheat,Resoultion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV33 9QB,Oxfordshire,RF,0,0,447820.8435,0,631075.3742,107642.6866,0,0,0,350023.8343,320012.5642,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV35 0HQ,Oxfordshire,DB,0,106652.413,440591.2938,0,0,481141.9763,0,314439.6528,0,88822.44134,1130264.227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0RD,Nottinghamshire,CL,0,177297.6639,383128.2411,0,365329.849,49726.63076,0,229229.4237,0,227522.9518,845504.9856,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0SP,Nottinghamshire,WB,0,375438.6577,103956.7292,0,159848.2907,930576.2424,0,0,23189.72132,170274.7615,986850.4882,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1EJ,Bedfordshire,WW,0,0,213923.217,0,639852.8846,379567.7993,0,0,0,0,1135178.075,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1QT,Bedfordshire,MF,0,343519.2105,494478.5631,16075.87254,137192.5707,688576.4951,0,39894.04121,0,372112.5963,745309.2312,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2BU,Bedfordshire,DU,0,590616.2104,217607.6945,0,652302.7113,511836.6358,0,245885.9619,0,29621.35426,430050.0325,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2EE,Bedfordshire,TE,0,82150.92562,59162.95803,0,480618.7722,1043665.685,0,1028.28577,58168.73816,132080.5069,734512.4547,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2PD,Bedfordshire,JP,0,142921.7515,839748.0616,0,0,272640.3845,0,0,0,120009.8002,1159799.852,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9LF,Nottinghamshire,MC,0,184720.6682,122753.6186,0,675914.1193,307773.0364,0,0,24.20288074,173789.2007,1156463.269,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9PE,Nottinghamshire,WS,0,84959.81839,924084.9344,0,232330.7141,129661.8344,29997.06022,0,107420.8586,81726.84717,536201.9458,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG32 3HX,Nottinghamshire,AS,0,735.0166669,503257.4403,0,393239.1363,278261.4207,0,40953.92527,138410.3424,221490.4671,604493.8401,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN29 7JT,Bedfordshire,WG,0,48858.62447,515354.807,0,378733.3326,501667.8517,0,0,1913.436929,0,855255.4352,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 1RT,Norfolk,DS,333452.5703,171483.4268,308267.1495,0,106682.2911,255440.772,0,97488.16825,0,505621.1807,667428.0796,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 2QL,Norfolk,TW,121379.8923,269812.6839,414333.4941,0,302252.7797,146679.4201,0,0,58944.67926,437874.5494,704270.1577,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR16 1SN,Norfolk,WE,529354.0639,0,15183.53026,0,58499.55054,0,0,409661.5474,75531.17271,187029.871,1081154.111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1AS,Oxfordshire,RH,0,271879.6115,430809.4919,89986.75532,720039.5631,0,0,145702.9384,77903.54567,368150.1828,778592.2486,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1QB,Oxfordshire,AT,0,0,674854.1199,0,208406.9681,86407.59713,0,0,724928.1584,0,756045.6961,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE26 2XF,Cambridgeshire,PD,46259.63579,138365.4383,89464.67799,0,972257.8814,240574.6606,20080.02919,0,23514.5742,320186.266,1076902.367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 3LY,Cambridgeshire,JB,0,381257.1792,255771.4956,0,0,0,0,44973.48099,224234.908,24444.05505,833477.8441,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 5RR,Cambridgeshire,PW,0,0,180921.1539,0,498186.6337,251908.9118,0,0,59413.33142,0,1401074.873,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE7 2HP,Cambridgeshire,JW,385586.1744,0,246051.0163,0,111928.6687,451880.9412,107804.7856,0,4057.831344,91209.56085,1592618.415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
