Postcode,Region,Farm,Acid_grassland,Arable_horticulture,Broadleaf_woodland,Coniferous_woodland,Fen_marsh_ swamp,Freshwater,Improved_grassland,Suburban,Urban,Heather_grassland,Neutral_grassland,Saltmarsh,Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV33 9QB,Oxfordshire,RF,0,1705431.61,46909.8623,0,0,0,996586.1116,364122.5292,28126.86529,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV35 0HQ,Oxfordshire,DB,0,2483363.468,75437.08785,0,0,0,532499.4609,35845.91655,14031.04768,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0RD,Nottinghamshire,CL,0,1916326.755,50130.20662,0,0,0,986195.6308,170806.1272,17718.26103,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0SP,Nottinghamshire,WB,0,2690643.487,45975.41155,0,0,0,238172.9403,166385.1396,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1EJ,Bedfordshire,WW,0,2015021.727,19632.03008,0,0,0,727143.1592,379380.0614,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1QT,Bedfordshire,MF,0,2432256.499,43355.69112,0,0,0,657814.7564,7750.029885,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2BU,Bedfordshire,DU,0,2632188.725,0,0,0,0,360070.7376,148917.5175,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2EE,Bedfordshire,TE,0,2551088.441,93447.304,0,0,0,441036.694,55604.53929,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2PD,Bedfordshire,JP,0,1899708.679,19131.98511,0,0,0,1128237.024,94099.287,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9LF,Nottinghamshire,MC,0,2751712.342,70649.27479,0,0,0,273553.7235,45261.63998,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9PE,Nottinghamshire,WS,0,1500405.318,192002.1225,0,0,178423.1636,1201531.824,40390.75504,28423.79654,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG32 3HX,Nottinghamshire,AS,0,1823122.182,175293.0289,0,0,20587.56939,832792.4485,289381.7493,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN29 7JT,Bedfordshire,WG,0,1759442.791,153822.3482,0,0,0,853984.7277,368289.8313,5637.281498,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 1RT,Norfolk,DS,0,2390570.826,187724.7459,0,0,0,467439.0167,95442.38732,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 2QL,Norfolk,TW,0,2081034.161,330159.0376,8428.531936,0,0,619465.3443,69649.68838,32440.21476,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR16 1SN,Norfolk,WE,0,2479151.259,183280.3494,0,0,0,201948.0513,276797.3177,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1AS,Oxfordshire,RH,0,2600484.26,48919.84258,0,0,0,465489.9783,6907.399332,19375.50177,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1QB,Oxfordshire,AT,0,1964973.078,84626.36953,0,0,41995.84637,936222.5098,113359.1749,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE26 2XF,Cambridgeshire,PD,0,2911870.132,10136.55674,0,0,24241.20516,164310.6305,30618.45482,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
